feature,mean_importance
CCS Diagnosis Description,-0.0008769658785870105
sparcs_los,-0.00026828477178781897
Abortion Edit Indicator,0.00043072000484212225
Gender,0.0004337408366684725
APR Severity of Illness Description,0.0011976883633805224
Patient Disposition,0.0013643829170998157
APR Severity of Illness Code,0.0013877938501993148
APR Risk of Mortality,0.0013957753310476662
APR DRG Description,0.0016909412088538245
CCS Procedure Description,0.0023147894065561614
CCS Procedure Code,0.003095894231935392
APR Medical Surgical Description,0.0031372216822837863
Type of Admission,0.003505002559207826
APR DRG Code,0.003949426629815078
Payment Typology 3,0.004620917588317219
Emergency Department Indicator,0.004694128482843296
Birth Weight,0.00487351342783029
CCS Diagnosis Code,0.004959158887619997
APR MDC Code,0.005024745014665766
APR MDC Description,0.005502428065850151
Facility Id,0.012600624421903017
Payment Typology 1,0.013273265531973477
Payment Typology 2,0.016090790136944765
Total Costs,0.018945372878786837
Total Charges,0.029114430665374624
Zip Code - 3 digits,0.030589828392136087
Age Group,0.03725554835423055
Facility Name,0.039332805650582524
Health Service Area,0.04409716447472387
Hospital County,0.07260926134281323
Operating Certificate Number,0.0958452699866443
Ethnicity,0.13976131473310469
