feature,mean_importance
APR DRG Code,-9.95846677442902e-06
Type of Admission,-7.784927460163792e-06
Total Costs,-5.383702887629127e-06
APR DRG Description,-4.957482918799272e-06
APR Risk of Mortality,-4.205598313200554e-06
Gender,-8.881784197001253e-17
APR MDC Code,-8.881784197001253e-17
APR Medical Surgical Description,-6.661338147750939e-17
Abortion Edit Indicator,-4.4408920985006264e-17
Birth Weight,-4.4408920985006264e-17
APR Severity of Illness Description,-4.4408920985006264e-17
Patient Disposition,-4.4408920985006264e-17
CCS Procedure Description,-4.4408920985006264e-17
APR Severity of Illness Code,-2.2204460492503132e-17
sparcs_los,-2.2204460492503132e-17
CCS Diagnosis Description,3.3491059886925358e-06
CCS Diagnosis Code,5.359149447059508e-06
CCS Procedure Code,7.289825607892375e-06
Emergency Department Indicator,8.60493992111966e-06
Payment Typology 3,1.8052093381792922e-05
APR MDC Description,2.00686908791603e-05
Total Charges,2.996422291063894e-05
Payment Typology 2,8.145095903018262e-05
Health Service Area,0.0029759538799109643
Payment Typology 1,0.005730491896645473
Facility Id,0.005744972428362183
Age Group,0.012199203705296858
Facility Name,0.01814652574754554
Hospital County,0.022689730692881428
Zip Code - 3 digits,0.07251632926439103
Operating Certificate Number,0.07910089272094922
Ethnicity,0.18006337945569578
